,timestamp_hr,ems,fire,traffic,moon_phase,hr,moon_phase_simples
0,2015-12-10 17:00:00,5,1,10,30,17,0
1,2015-12-10 14:00:00,0,1,0,30,14,0
2,2015-12-10 16:00:00,5,0,1,30,16,0
3,2015-12-10 15:00:00,1,0,0,30,15,0
4,2015-12-10 18:00:00,9,4,13,30,18,0
5,2015-12-10 19:00:00,14,1,5,30,19,0
6,2015-12-10 20:00:00,10,2,3,30,20,0
7,2015-12-10 21:00:00,2,3,6,30,21,0
8,2015-12-10 22:00:00,7,2,1,30,22,0
9,2015-12-10 23:00:00,5,1,2,30,23,0
10,2015-12-11 00:00:00,3,0,0,1,0,0
11,2015-12-11 01:00:00,3,0,1,1,1,0
12,2015-12-11 02:00:00,2,1,1,1,2,0
13,2015-12-11 03:00:00,8,1,0,1,3,0
14,2015-12-11 04:00:00,2,4,0,1,4,0
15,2015-12-11 05:00:00,0,2,3,1,5,0
16,2015-12-11 06:00:00,8,0,2,1,6,0
17,2015-12-11 07:00:00,3,2,6,1,7,0
18,2015-12-11 08:00:00,9,6,14,1,8,0
19,2015-12-11 09:00:00,6,4,1,1,9,0
20,2015-12-11 10:00:00,7,3,8,1,10,0
21,2015-12-11 11:00:00,6,4,5,1,11,0
22,2015-12-11 12:00:00,15,3,6,1,12,0
23,2015-12-11 13:00:00,17,1,5,1,13,0
24,2015-12-11 14:00:00,14,3,6,1,14,0
25,2015-12-11 15:00:00,9,6,13,1,15,0
26,2015-12-11 16:00:00,12,7,8,1,16,0
27,2015-12-11 17:00:00,15,5,19,1,17,0
28,2015-12-11 18:00:00,12,4,8,1,18,0
29,2015-12-11 19:00:00,18,4,10,1,19,0
30,2015-12-11 20:00:00,3,3,5,1,20,0
31,2015-12-11 21:00:00,3,3,6,1,21,0
32,2015-12-11 22:00:00,5,2,9,1,22,0
33,2015-12-11 23:00:00,6,0,1,1,23,0
34,2015-12-12 00:00:00,3,2,2,2,0,0
35,2015-12-12 01:00:00,5,0,0,2,1,0
36,2015-12-12 02:00:00,4,0,1,2,2,0
37,2015-12-12 03:00:00,4,4,3,2,3,0
38,2015-12-12 04:00:00,3,1,1,2,4,0
39,2015-12-12 05:00:00,5,1,5,2,5,0
40,2015-12-12 06:00:00,1,0,2,2,6,0
41,2015-12-12 07:00:00,8,3,3,2,7,0
42,2015-12-12 08:00:00,3,2,0,2,8,0
43,2015-12-12 09:00:00,8,2,2,2,9,0
44,2015-12-12 10:00:00,11,2,12,2,10,0
45,2015-12-12 11:00:00,8,5,6,2,11,0
46,2015-12-12 12:00:00,7,5,6,2,12,0
47,2015-12-12 13:00:00,10,2,11,2,13,0
48,2015-12-12 14:00:00,8,4,8,2,14,0
49,2015-12-12 15:00:00,13,2,13,2,15,0
50,2015-12-12 16:00:00,12,3,15,2,16,0
51,2015-12-12 17:00:00,9,4,9,2,17,0
52,2015-12-12 18:00:00,13,2,9,2,18,0
53,2015-12-12 19:00:00,17,8,12,2,19,0
54,2015-12-12 20:00:00,2,2,5,2,20,0
55,2015-12-12 21:00:00,14,10,5,2,21,0
56,2015-12-12 22:00:00,12,2,7,2,22,0
57,2015-12-12 23:00:00,8,3,8,2,23,0
58,2015-12-13 00:00:00,8,0,1,3,0,0
59,2015-12-13 01:00:00,4,1,0,3,1,0
60,2015-12-13 02:00:00,4,0,1,3,2,0
61,2015-12-13 03:00:00,8,0,0,3,3,0
62,2015-12-13 04:00:00,0,2,0,3,4,0
63,2015-12-13 05:00:00,2,1,1,3,5,0
64,2015-12-13 06:00:00,6,0,2,3,6,0
65,2015-12-13 07:00:00,7,3,3,3,7,0
66,2015-12-13 08:00:00,11,1,2,3,8,0
67,2015-12-13 09:00:00,4,4,3,3,9,0
68,2015-12-13 10:00:00,13,2,2,3,10,0
69,2015-12-13 11:00:00,9,4,6,3,11,0
70,2015-12-13 12:00:00,10,2,10,3,12,0
71,2015-12-13 13:00:00,10,6,3,3,13,0
72,2015-12-13 14:00:00,11,2,5,3,14,0
73,2015-12-13 15:00:00,12,1,4,3,15,0
74,2015-12-13 16:00:00,8,3,3,3,16,0
75,2015-12-13 17:00:00,12,3,7,3,17,0
76,2015-12-13 18:00:00,11,6,11,3,18,0
77,2015-12-13 19:00:00,9,3,4,3,19,0
78,2015-12-13 20:00:00,10,2,2,3,20,0
79,2015-12-13 21:00:00,5,0,3,3,21,0
80,2015-12-13 22:00:00,13,2,2,3,22,0
81,2015-12-13 23:00:00,4,2,0,3,23,0
82,2015-12-14 00:00:00,3,1,0,4,0,0
83,2015-12-14 01:00:00,10,0,1,4,1,0
84,2015-12-14 02:00:00,4,0,0,4,2,0
85,2015-12-14 03:00:00,3,0,0,4,3,0
86,2015-12-14 04:00:00,4,0,0,4,4,0
87,2015-12-14 05:00:00,4,1,5,4,5,0
88,2015-12-14 06:00:00,5,2,8,4,6,0
89,2015-12-14 07:00:00,9,3,15,4,7,0
90,2015-12-14 08:00:00,14,0,11,4,8,0
91,2015-12-14 09:00:00,11,3,7,4,9,0
92,2015-12-14 10:00:00,9,1,6,4,10,0
93,2015-12-14 11:00:00,11,2,9,4,11,0
94,2015-12-14 12:00:00,11,0,15,4,12,0
95,2015-12-14 13:00:00,22,0,7,4,13,0
96,2015-12-14 14:00:00,5,5,6,4,14,0
97,2015-12-14 15:00:00,12,5,11,4,15,0
98,2015-12-14 16:00:00,13,3,17,4,16,0
